Event,Location,Date,Start,End,Image
Marché à la Brocante,"Place d'Armes, Luxembourg",20.07.2024,8:00,18:00,https://storage.googleapis.com/lu-echo-prod-experiences/j2vhe4qaVrzdu5kGdXLmDb/3loPgf4aw49L2NlOXUu08N-pc7DHm/thumb_brocante20echo20lu_main.jpg
Glacismaart,Champs du Glacis,21.07.2024,10:00,17:00,https://storage.googleapis.com/lu-echo-prod-experiences/j2vhe4qaVrzdu5kGdXLmDb/glacismaart-aJrmtg/thumb_md_vdl_glacismaart-06232_main.jpg
Challengers (City Open Air Cinema),Place Guillaume II - De Knuedler,25.07.2024,21:30,23:45,https://storage.googleapis.com/lu-echo-prod-experiences/wNqoZmove5SG6TRjbN97Kc/city-open-air-cinema-OHJdPF/thumb_Challengers_1_main.jpg
Casablanca (City Open Air Cinema),Place Guillaume II - De Knuedler,26.07.2024,21:30,23:15,https://storage.googleapis.com/lu-echo-prod-experiences/wNqoZmove5SG6TRjbN97Kc/city-open-air-cinema-EZY5Ny/thumb_Casablanca_02_main.jpg
Les Demoiselles de Rochefort (City Open Air Cinema),Place Guillaume II - De Knuedler,27.07.2024,21:30,23:45,https://storage.googleapis.com/lu-echo-prod-experiences/wNqoZmove5SG6TRjbN97Kc/city-open-air-cinema-vX5mz2/thumb_Les-Demoiselles-de-Rochefort_main.jpg
Mon voisin Totoro (City Open Air Cinema),Place Guillaume II - De Knuedler,28.07.2024,21:30,23:00,https://storage.googleapis.com/lu-echo-prod-experiences/wNqoZmove5SG6TRjbN97Kc/city-open-air-cinema-qDG0BC/thumb_Mon_voisin_totoro_2_main.jpg
Barbie (City Open Air Cinema),Place Guillaume II - De Knuedler,29.07.2024,21:30,23:30,https://storage.googleapis.com/lu-echo-prod-experiences/wNqoZmove5SG6TRjbN97Kc/city-open-air-cinema-N_nRed/thumb_Barbie_1_main.jpg
Eternal Sunshine of the Spotless Mind (City Open Air Cinema),Place Guillaume II - De Knuedler,30.07.2024,21:30,23:15,https://storage.googleapis.com/lu-echo-prod-experiences/wNqoZmove5SG6TRjbN97Kc/city-open-air-cinema-RUnHhB/thumb_Eternal-Sunshine-of-the-Spotless-Mind_1_main.jpg
Mission: Impossible (City Open Air Cinema),Place Guillaume II - De Knuedler,31.07.2024,21:30,23:30,https://storage.googleapis.com/lu-echo-prod-experiences/wNqoZmove5SG6TRjbN97Kc/city-open-air-cinema-Yn_M2n/thumb_Mission-Impossible-1-_main.jpg
The Great Gatsby (The Life of the Party),Cinémathèque de la Ville de Luxembourg,01.08.2024,19:00,21:30,https://storage.googleapis.com/lu-echo-prod-experiences/wNqoZmove5SG6TRjbN97Kc/the-great-gatsby-the-life-of-the-party-Qg2zNX/The-Great-Gatsby_1.jpg
"<span class=""hyphen""> Ciné-Concert:</span> Buster Keaton et Charlie Chaplin (City Open Air Cinema)",Place Guillaume II - De Knuedler,01.08.2024,21:30,22:45,https://storage.googleapis.com/lu-echo-prod-experiences/wNqoZmove5SG6TRjbN97Kc/city-open-air-cinema-8Sprk3/thumb_OneWeek_01_main.jpg
Black Orpheus (The Life of the Party),Cinémathèque de la Ville de Luxembourg,02.08.2024,19:00,20:45,https://storage.googleapis.com/lu-echo-prod-experiences/wNqoZmove5SG6TRjbN97Kc/black-orpheus-the-life-of-the-party-N3LO0I/thumb_Orfeu_Negro_CAMUS_Marcel_02_CJ_main.jpg
The Party (The Life of the Party),Cinémathèque de la Ville de Luxembourg,03.08.2024,19:00,20:45,https://storage.googleapis.com/lu-echo-prod-experiences/wNqoZmove5SG6TRjbN97Kc/the-party-the-life-of-the-party-bgkGh9/thumb_Party_11_main.jpg
Marie Antoinette (The Life of the Party),Cinémathèque de la Ville de Luxembourg,06.08.2024,19:00,21:00,https://storage.googleapis.com/lu-echo-prod-experiences/wNqoZmove5SG6TRjbN97Kc/marie-antoinette-the-life-of-the-party-ozHWDV/thumb_Marie_Antoinette_1_main.jpg
Zorba the Greek (The Life of the Party),Cinémathèque de la Ville de Luxembourg,07.08.2024,19:00,21:30,https://storage.googleapis.com/lu-echo-prod-experiences/wNqoZmove5SG6TRjbN97Kc/zorba-the-greek-the-life-of-the-party-4MG0Mk/thumb_Zorba-the-Greek-01_main.jpg
The Great Beauty (The Life of the Party),Cinémathèque de la Ville de Luxembourg,08.08.2024,19:00,21:30,https://storage.googleapis.com/lu-echo-prod-experiences/wNqoZmove5SG6TRjbN97Kc/the-great-beauty-the-life-of-the-party-BJPeif/thumb_Great-Beauty_1_main.jpg
The Joker (The Life of the Party),Cinémathèque de la Ville de Luxembourg,09.08.2024,19:00,20:45,https://storage.googleapis.com/lu-echo-prod-experiences/wNqoZmove5SG6TRjbN97Kc/the-joker-the-life-of-the-party-F1nw_P/thumb_Joker_1_imagecle_main.jpeg
Marché à la Brocante,"Place d'Armes, Luxembourg",10.08.2024,8:00,18:00,https://storage.googleapis.com/lu-echo-prod-experiences/j2vhe4qaVrzdu5kGdXLmDb/3loPgf4aw49L2NlOXUu08N-pc7DHm/thumb_brocante20echo20lu_main.jpg
Jour de fête (The Life of the Party),Cinémathèque de la Ville de Luxembourg,10.08.2024,19:00,20:30,https://storage.googleapis.com/lu-echo-prod-experiences/wNqoZmove5SG6TRjbN97Kc/jour-de-fete-the-life-of-the-party-O6laoR/thumb_JourdeFete_01_main.jpg
Four Weddings and a Funeral (The Life of the Party),Cinémathèque de la Ville de Luxembourg,13.08.2024,19:00,21:00,https://storage.googleapis.com/lu-echo-prod-experiences/wNqoZmove5SG6TRjbN97Kc/four-weddings-and-a-funeral-the-life-of-the-party-Y9cbup/thumb_Four-Weddings-and-a-Funeral_2_main.jpg
Le Bal (The Life of the Party),Cinémathèque de la Ville de Luxembourg,14.08.2024,19:00,21:00,https://storage.googleapis.com/lu-echo-prod-experiences/wNqoZmove5SG6TRjbN97Kc/le-bal-the-life-of-the-party-3yur5B/thumb_Le-Bal_1_retouche_VG_CJ_main.jpg
Superbad (The Life of the Party),Cinémathèque de la Ville de Luxembourg,15.08.2024,19:00,21:00,https://storage.googleapis.com/lu-echo-prod-experiences/wNqoZmove5SG6TRjbN97Kc/superbad-the-life-of-the-party-TKp4Q4/thumb_Superbad_main.jpg
Another Round (The Life of the Party),Cinémathèque de la Ville de Luxembourg,16.08.2024,19:00,21:00,https://storage.googleapis.com/lu-echo-prod-experiences/wNqoZmove5SG6TRjbN97Kc/another-round-the-life-of-the-party-j8Cap-/thumb_Druk_1_main.jpeg
Dirty Dancing (The Life of the Party),Cinémathèque de la Ville de Luxembourg,17.08.2024,19:00,20:45,https://storage.googleapis.com/lu-echo-prod-experiences/wNqoZmove5SG6TRjbN97Kc/dirty-dancing-the-life-of-the-party-9xizSo/thumb_Dirty-Dancing_2_main.jpeg
Strange Days (The Life of the Party),Cinémathèque de la Ville de Luxembourg,20.08.2024,19:00,21:30,https://storage.googleapis.com/lu-echo-prod-experiences/wNqoZmove5SG6TRjbN97Kc/the-hangover-the-life-of-the-party-Kk1b43/thumb_strange-days-2_main.jpg
Vengo del moro (The Life of the Party),Cinémathèque de la Ville de Luxembourg,21.08.2024,19:00,20:45,https://storage.googleapis.com/lu-echo-prod-experiences/wNqoZmove5SG6TRjbN97Kc/vengo-del-moro-the-life-of-the-party-qgWctj/thumb_Vengo_2_main.jpg
Babylon (The Life of the Party),Cinémathèque de la Ville de Luxembourg,22.08.2024,19:00,22:15,https://storage.googleapis.com/lu-echo-prod-experiences/wNqoZmove5SG6TRjbN97Kc/babylon-the-life-of-the-party-8X52Ca/thumb_Babylon_01_cj_main.jpg
Il Casanova di Fellini (The Life of the Party),Cinémathèque de la Ville de Luxembourg,23.08.2024,19:00,21:45,https://storage.googleapis.com/lu-echo-prod-experiences/wNqoZmove5SG6TRjbN97Kc/il-casanova-di-fellini-the-life-of-the-party-3rDSlr/thumb_Casanova_03_retouche_VG.jpg
Marché à la Brocante,"Place d'Armes, Luxembourg",24.08.2024,8:00,18:00,https://storage.googleapis.com/lu-echo-prod-experiences/j2vhe4qaVrzdu5kGdXLmDb/3loPgf4aw49L2NlOXUu08N-pc7DHm/thumb_brocante20echo20lu_main.jpg
Rachel Getting Married (The Life of the Party),Cinémathèque de la Ville de Luxembourg,24.08.2024,19:00,21:00,https://storage.googleapis.com/lu-echo-prod-experiences/wNqoZmove5SG6TRjbN97Kc/rachel-getting-married-the-life-of-the-party-J0GEzl/thumb_Rachel-Getting-Married_2_main.jpg
Wild Tales (The Life of the Party),Cinémathèque de la Ville de Luxembourg,27.08.2024,19:00,21:00,https://storage.googleapis.com/lu-echo-prod-experiences/wNqoZmove5SG6TRjbN97Kc/wild-tales-the-life-of-the-party-OHnQXI/thumb_wild-tales-relatos-salvages_main.jpeg
Le Sens de la fête (The Life of the Party),Cinémathèque de la Ville de Luxembourg,28.08.2024,19:00,21:00,https://storage.googleapis.com/lu-echo-prod-experiences/wNqoZmove5SG6TRjbN97Kc/le-sens-de-la-fete-the-life-of-the-party-qZZog8/thumb_Le-Sens-de-la-F-te_2_main.jpeg
Underground (The Life of the Party),Cinémathèque de la Ville de Luxembourg,29.08.2024,19:00,22:00,https://storage.googleapis.com/lu-echo-prod-experiences/wNqoZmove5SG6TRjbN97Kc/underground-the-life-of-the-party-yIm_t6/thumb_Underground_2.jpg
En Dag am Fräien + Partie de campagne (The Life of the Party),Cinémathèque de la Ville de Luxembourg,30.08.2024,19:00,20:00,https://storage.googleapis.com/lu-echo-prod-experiences/wNqoZmove5SG6TRjbN97Kc/en-dag-am-fraien-partie-de-campagne-the-life-of-the-party-t_MxVz/thumb_En-Dag-am-Fr-ien-_main.jpeg
